date,description,amount,currency,reference,transaction_type
2026-07-15,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1068,credit
2026-07-15,AWS Cloud Infrastructure Compute,-14250.00,USD,INV-AWS-US-44,debit
2026-07-16,STRIPE Payout Settlement - Helios Enterprise API,33111.10,USD,STRIPE-BATCH-1069,credit
2026-07-16,WIRE Payout Settlement - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1070,credit
2026-07-17,RAZORPAY Payout Settlement - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1071,credit
2026-07-17,STRIPE Payout Settlement - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1072,credit
2026-07-19,Bi-Weekly Payroll Direct Deposit ACH,-42500.00,USD,PAYROLL-ACH-48,debit
2026-07-20,STRIPE Payout Settlement - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1073,credit
2026-07-20,PAYPAL Payout Settlement - Apex Global Subscriptions,6602.80,USD,PAYPAL-BATCH-1074,credit
2026-07-21,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1075,credit
2026-07-21,ADYEN Payout Settlement - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1076,credit
2026-07-22,STRIPE Payout Settlement - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1077,credit
2026-07-22,SQUARE Payout Settlement - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1078,credit
2026-07-22,Office Lease Global HQ,-18500.00,USD,LEASE-HQ-51,debit
2026-07-23,PAYPAL Payout Settlement - Apex Global Subscriptions,6602.80,USD,PAYPAL-BATCH-1079,credit
2026-07-23,STRIPE Payout Settlement - Helios Enterprise API,33111.10,USD,STRIPE-BATCH-1080,credit
2026-07-24,ADYEN Payout Settlement - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1081,credit
2026-07-24,RAZORPAY Payout Settlement - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1082,credit
2026-07-27,RAZORPAY Payout Settlement - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1083,credit
2026-07-27,STRIPE Payout Settlement - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1084,credit
2026-07-28,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1085,credit
2026-07-28,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1086,credit
2026-07-29,WIRE Payout Settlement - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1087,credit
2026-07-29,STRIPE Payout Settlement - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1088,credit
2026-07-29,Datadog Infrastructure Monitoring,-3200.00,USD,INV-DDOG-58,debit
2026-07-30,STRIPE Payout Settlement - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1089,credit
2026-07-30,PAYPAL Payout Settlement - Apex Global Subscriptions,6602.80,USD,PAYPAL-BATCH-1090,credit
2026-07-31,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1091,credit
2026-07-31,ADYEN Payout Settlement - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1092,credit
2026-08-01,Office Lease Global HQ,-18500.00,USD,LEASE-HQ-61,debit
2026-08-03,ADYEN Payout Settlement - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1093,credit
2026-08-03,RAZORPAY Payout Settlement - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1094,credit
2026-08-04,SQUARE Payout Settlement - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1095,credit
2026-08-04,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1096,credit
2026-08-04,Bi-Weekly Payroll Direct Deposit ACH,-42500.00,USD,PAYROLL-ACH-64,debit
2026-08-05,STRIPE Payout Settlement - Helios Enterprise API,33111.10,USD,STRIPE-BATCH-1097,credit
2026-08-05,WIRE Payout Settlement - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1098,credit
2026-08-05,Google Workspace Enterprise Seats,-840.00,USD,INV-GSUITE-65,debit
2026-08-06,RAZORPAY Payout Settlement - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1099,credit
2026-08-06,STRIPE Payout Settlement - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1100,credit
2026-08-07,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1101,credit
2026-08-07,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1102,credit
2026-08-10,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1103,credit
2026-08-10,ADYEN Payout Settlement - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1104,credit
2026-08-11,STRIPE Payout Settlement - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1105,credit
2026-08-11,SQUARE Payout Settlement - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1106,credit
2026-08-12,PAYPAL Payout Settlement - Apex Global Subscriptions,6602.80,USD,PAYPAL-BATCH-1107,credit
2026-08-12,STRIPE Payout Settlement - Helios Enterprise API,33111.10,USD,STRIPE-BATCH-1108,credit
2026-08-12,AWS Cloud Infrastructure Compute,-14250.00,USD,INV-AWS-US-72,debit
2026-08-13,ADYEN Payout Settlement - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1109,credit
2026-08-13,RAZORPAY Payout Settlement - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1110,credit
2026-08-14,SQUARE Payout Settlement - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1112,credit
2026-08-14,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1113,credit
2026-08-17,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1114,credit
2026-08-17,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1115,credit
2026-08-18,WIRE Payout Settlement - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1116,credit
2026-08-18,STRIPE Payout Settlement - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1117,credit
2026-08-18,Bi-Weekly Payroll Direct Deposit ACH,-42500.00,USD,PAYROLL-ACH-78,debit
2026-08-19,STRIPE Payout Settlement - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1118,credit
2026-08-19,PAYPAL Payout Settlement - Apex Global Subscriptions,6602.80,USD,PAYPAL-BATCH-1119,credit
2026-08-19,Office Lease Global HQ,-18500.00,USD,LEASE-HQ-79,debit
2026-08-20,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1120,credit
2026-08-20,ADYEN Payout Settlement - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1121,credit
2026-08-21,STRIPE Payout Settlement - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1122,credit
2026-08-21,SQUARE Payout Settlement - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1123,credit
2026-08-24,SQUARE Payout Settlement - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1124,credit
2026-08-24,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1125,credit
2026-08-25,STRIPE Payout Settlement - Helios Enterprise API,33111.10,USD,STRIPE-BATCH-1126,credit
2026-08-25,WIRE Payout Settlement - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1127,credit
2026-08-26,RAZORPAY Payout Settlement - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1128,credit
2026-08-26,STRIPE Payout Settlement - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1129,credit
2026-08-26,Datadog Infrastructure Monitoring,-3200.00,USD,INV-DDOG-86,debit
2026-08-27,ADYEN Payout Settlement - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1130,credit
2026-08-27,STRIPE Payout Settlement - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1131,credit
2026-08-28,WIRE Payout Settlement - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1132,credit
2026-08-28,STRIPE Payout Settlement - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1133,credit
2026-08-31,STRIPE Payout Settlement - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1134,credit
2026-08-31,SQUARE Payout Settlement - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1135,credit
